Date,Symbol,Name,Price,Change
2021-07-17 21:55:53.216776,BTC-USD,Bitcoin USD,"31,916.59",+1.2117%
2021-07-17 21:56:55.218401,BTC-USD,Bitcoin USD,"31,937.72",+1.3706%
2021-07-17 21:57:56.356200,BTC-USD,Bitcoin USD,"32,071.18",+1.6968%
2021-07-17 21:58:57.461969,BTC-USD,Bitcoin USD,"32,036.53",+1.4625%
2021-07-17 21:59:58.909093,BTC-USD,Bitcoin USD,"32,003.05",+1.3422%
2021-07-17 22:01:00.069492,BTC-USD,Bitcoin USD,"31,997.38",+1.2226%
2021-07-17 22:02:04.680922,BTC-USD,Bitcoin USD,"31,990.78",+1.1789%
2021-07-17 22:03:06.592267,BTC-USD,Bitcoin USD,"32,049.47",+1.4444%
2021-07-17 22:04:08.845418,BTC-USD,Bitcoin USD,"32,086.47",+1.6152%
2021-07-17 22:05:10.411445,BTC-USD,Bitcoin USD,"32,050.79",+1.5634%
2021-07-17 22:06:11.426363,BTC-USD,Bitcoin USD,"32,029.47",+1.475%
2021-07-17 22:07:12.494399,BTC-USD,Bitcoin USD,"31,985.17",+1.3453%
2021-07-17 22:08:13.647981,BTC-USD,Bitcoin USD,"32,007.34",+1.4756%
2021-07-17 22:09:14.751092,BTC-USD,Bitcoin USD,"32,011.11",+1.505%
2021-07-17 22:10:15.740345,BTC-USD,Bitcoin USD,"32,021.12",+1.5137%
2021-07-17 22:11:16.846244,BTC-USD,Bitcoin USD,"32,004.86",+1.481%
2021-07-17 22:12:17.930188,BTC-USD,Bitcoin USD,"31,989.96",+1.5121%
2021-07-17 22:13:19.057066,BTC-USD,Bitcoin USD,"31,998.68",+1.5794%
2021-07-17 22:14:20.141482,BTC-USD,Bitcoin USD,"32,013.75",+1.6175%
2021-07-17 22:15:21.191986,BTC-USD,Bitcoin USD,"32,014.36",+1.6508%
2021-07-17 22:16:22.526103,BTC-USD,Bitcoin USD,"32,014.96",+1.5957%
2021-07-17 22:17:23.852424,BTC-USD,Bitcoin USD,"32,014.96",+1.5957%
2021-07-17 22:18:24.874475,BTC-USD,Bitcoin USD,"32,023.65",+1.6875%
2021-07-17 22:19:25.992557,BTC-USD,Bitcoin USD,"32,021.78",+1.733%
2021-07-17 22:20:27.044159,BTC-USD,Bitcoin USD,"32,043.05",+1.7764%
2021-07-17 22:21:28.222731,BTC-USD,Bitcoin USD,"32,044.90",+1.7327%
2021-07-17 22:22:29.227837,BTC-USD,Bitcoin USD,"32,032.49",+1.7393%
2021-07-17 22:23:30.342933,BTC-USD,Bitcoin USD,"32,061.63",+1.8402%
2021-07-17 22:24:31.459481,BTC-USD,Bitcoin USD,"32,060.47",+1.8345%
2021-07-17 22:25:32.578711,BTC-USD,Bitcoin USD,"32,067.99",+1.8528%
2021-07-17 22:26:33.498853,BTC-USD,Bitcoin USD,"32,084.57",+1.8921%
2021-07-17 22:27:34.702655,BTC-USD,Bitcoin USD,"32,105.71",+1.9211%
2021-07-17 22:28:35.794658,BTC-USD,Bitcoin USD,"32,131.97",+1.9067%
2021-07-17 22:29:36.983515,BTC-USD,Bitcoin USD,"32,131.97",+1.9067%
2021-07-17 22:30:38.089442,BTC-USD,Bitcoin USD,"32,149.66",+1.9065%
2021-07-17 22:31:39.222475,BTC-USD,Bitcoin USD,"32,193.80",+2.123%
2021-07-17 22:32:40.392601,BTC-USD,Bitcoin USD,"32,229.99",+2.4202%
2021-07-17 22:33:41.522633,BTC-USD,Bitcoin USD,"32,360.26",+2.8493%
2021-07-17 22:34:42.685981,BTC-USD,Bitcoin USD,"32,373.37",+2.8352%
2021-07-17 22:35:43.788597,BTC-USD,Bitcoin USD,"32,399.00",+2.9005%
2021-07-17 22:36:44.912553,BTC-USD,Bitcoin USD,"32,386.17",+2.9986%
2021-07-17 22:37:46.124025,BTC-USD,Bitcoin USD,"32,373.56",+2.9689%
2021-07-17 22:38:47.264104,BTC-USD,Bitcoin USD,"32,329.23",+2.8476%
2021-07-17 22:39:48.381836,BTC-USD,Bitcoin USD,"32,296.92",+2.7127%
2021-07-17 22:40:49.566289,BTC-USD,Bitcoin USD,"32,305.84",+2.8279%
2021-07-17 22:41:50.668893,BTC-USD,Bitcoin USD,"32,298.79",+2.7921%
2021-07-17 22:42:51.879182,BTC-USD,Bitcoin USD,"32,287.68",+2.8599%
2021-07-17 22:43:52.951036,BTC-USD,Bitcoin USD,"32,285.45",+2.9701%
2021-07-17 22:44:54.098435,BTC-USD,Bitcoin USD,"32,286.06",+2.957%
2021-07-17 22:45:55.318631,BTC-USD,Bitcoin USD,"32,289.99",+3.0671%
2021-07-17 22:46:56.411993,BTC-USD,Bitcoin USD,"32,268.98",+3.0149%
