Date,Symbol,Name,Price,Change
2021-07-17 21:55:53.659504,ETH-USD,Ethereum USD,"1,954.25",+3.1603%
2021-07-17 21:56:55.491436,ETH-USD,Ethereum USD,"1,958.23",+3.4975%
2021-07-17 21:57:56.626039,ETH-USD,Ethereum USD,"1,978.29",+4.5119%
2021-07-17 21:58:57.946327,ETH-USD,Ethereum USD,"1,972.46",+4.0765%
2021-07-17 21:59:59.170527,ETH-USD,Ethereum USD,"1,968.84",+3.8656%
2021-07-17 22:01:02.132282,ETH-USD,Ethereum USD,"1,968.76",+3.6496%
2021-07-17 22:02:05.121084,ETH-USD,Ethereum USD,"1,970.95",+3.7763%
2021-07-17 22:03:07.401769,ETH-USD,Ethereum USD,"1,978.80",+4.3516%
2021-07-17 22:04:09.136901,ETH-USD,Ethereum USD,"1,981.25",+4.5279%
2021-07-17 22:05:10.642892,ETH-USD,Ethereum USD,"1,975.75",+4.3195%
2021-07-17 22:06:11.645108,ETH-USD,Ethereum USD,"1,972.42",+4.2089%
2021-07-17 22:07:12.760015,ETH-USD,Ethereum USD,"1,967.05",+3.8972%
2021-07-17 22:08:13.882336,ETH-USD,Ethereum USD,"1,969.65",+4.1335%
2021-07-17 22:09:14.922959,ETH-USD,Ethereum USD,"1,969.47",+4.1866%
2021-07-17 22:10:15.943464,ETH-USD,Ethereum USD,"1,972.00",+4.3423%
2021-07-17 22:11:17.080611,ETH-USD,Ethereum USD,"1,970.94",+4.2783%
2021-07-17 22:12:18.180180,ETH-USD,Ethereum USD,"1,967.31",+4.1807%
2021-07-17 22:13:19.275807,ETH-USD,Ethereum USD,"1,971.93",+4.5212%
2021-07-17 22:14:20.391470,ETH-USD,Ethereum USD,"1,972.36",+4.5052%
2021-07-17 22:15:21.457606,ETH-USD,Ethereum USD,"1,974.83",+4.6997%
2021-07-17 22:16:22.822969,ETH-USD,Ethereum USD,"1,974.06",+4.5417%
2021-07-17 22:17:24.071164,ETH-USD,Ethereum USD,"1,974.06",+4.5417%
2021-07-17 22:18:25.108840,ETH-USD,Ethereum USD,"1,972.11",+4.5648%
2021-07-17 22:19:26.226927,ETH-USD,Ethereum USD,"1,972.11",+4.6617%
2021-07-17 22:20:27.294149,ETH-USD,Ethereum USD,"1,976.37",+4.8482%
2021-07-17 22:21:28.425847,ETH-USD,Ethereum USD,"1,977.73",+4.8746%
2021-07-17 22:22:29.462204,ETH-USD,Ethereum USD,"1,976.67",+4.8356%
2021-07-17 22:23:30.592922,ETH-USD,Ethereum USD,"1,977.69",+4.9153%
2021-07-17 22:24:31.662599,ETH-USD,Ethereum USD,"1,978.66",+4.9447%
2021-07-17 22:25:32.797451,ETH-USD,Ethereum USD,"1,978.61",+4.8423%
2021-07-17 22:26:33.764458,ETH-USD,Ethereum USD,"1,981.04",+4.965%
2021-07-17 22:27:34.937019,ETH-USD,Ethereum USD,"1,979.62",+4.7876%
2021-07-17 22:28:36.029028,ETH-USD,Ethereum USD,"1,980.18",+4.618%
2021-07-17 22:29:37.217881,ETH-USD,Ethereum USD,"1,980.18",+4.618%
2021-07-17 22:30:38.339436,ETH-USD,Ethereum USD,"1,978.99",+4.5324%
2021-07-17 22:31:39.472464,ETH-USD,Ethereum USD,"1,980.30",+4.7059%
2021-07-17 22:32:40.658217,ETH-USD,Ethereum USD,"1,977.39",+4.7007%
2021-07-17 22:33:41.772624,ETH-USD,Ethereum USD,"1,984.39",+5.0636%
2021-07-17 22:34:42.935970,ETH-USD,Ethereum USD,"1,983.29",+4.9151%
2021-07-17 22:35:44.022966,ETH-USD,Ethereum USD,"1,983.77",+4.9652%
2021-07-17 22:36:45.178165,ETH-USD,Ethereum USD,"1,983.04",+5.1034%
2021-07-17 22:37:46.374015,ETH-USD,Ethereum USD,"1,979.71",+4.9375%
2021-07-17 22:38:47.514091,ETH-USD,Ethereum USD,"1,977.81",+4.8641%
2021-07-17 22:39:48.663074,ETH-USD,Ethereum USD,"1,977.23",+4.7646%
2021-07-17 22:40:49.785029,ETH-USD,Ethereum USD,"1,976.59",+4.9044%
2021-07-17 22:41:50.918882,ETH-USD,Ethereum USD,"1,976.30",+4.9289%
2021-07-17 22:42:52.097925,ETH-USD,Ethereum USD,"1,975.69",+5.0576%
2021-07-17 22:43:53.169776,ETH-USD,Ethereum USD,"1,978.41",+5.3081%
2021-07-17 22:44:54.348424,ETH-USD,Ethereum USD,"1,978.95",+5.3024%
2021-07-17 22:45:55.560854,ETH-USD,Ethereum USD,"1,981.18",+5.5103%
2021-07-17 22:46:56.661986,ETH-USD,Ethereum USD,"1,980.41",+5.4833%
2021-07-17 22:47:57.852458,ETH-USD,Ethereum USD,"1,978.02",+5.2361%
2021-07-17 22:48:59.032364,ETH-USD,Ethereum USD,"1,978.71",+5.2562%
2021-07-17 22:50:00.238838,ETH-USD,Ethereum USD,"1,977.95",+5.1381%
2021-07-17 22:51:01.659423,ETH-USD,Ethereum USD,"1,978.70",+5.269%
2021-07-17 22:52:02.842821,ETH-USD,Ethereum USD,"1,978.77",+5.2089%
2021-07-17 22:53:04.068367,ETH-USD,Ethereum USD,"1,979.33",+5.3123%
2021-07-17 22:54:05.234639,ETH-USD,Ethereum USD,"1,977.37",+5.2563%
2021-07-17 22:55:06.431271,ETH-USD,Ethereum USD,"1,978.74",+5.3281%
2021-07-17 22:56:07.723250,ETH-USD,Ethereum USD,"1,979.16",+5.4922%
2021-07-17 22:57:08.933759,ETH-USD,Ethereum USD,"1,979.06",+5.5222%
2021-07-17 22:58:10.172598,ETH-USD,Ethereum USD,"1,977.84",+5.6807%
2021-07-17 22:59:11.251468,ETH-USD,Ethereum USD,"1,975.75",+5.4614%
2021-07-17 23:00:12.401456,ETH-USD,Ethereum USD,"1,975.63",+5.5786%
2021-07-17 23:01:13.487091,ETH-USD,Ethereum USD,"1,977.22",+5.4373%
2021-07-17 23:02:14.668828,ETH-USD,Ethereum USD,"1,976.90",+5.4608%
2021-07-17 23:03:15.851709,ETH-USD,Ethereum USD,"1,977.61",+5.742%
2021-07-17 23:04:17.038014,ETH-USD,Ethereum USD,"1,976.66",+5.718%
2021-07-17 23:05:18.155411,ETH-USD,Ethereum USD,"1,974.81",+5.6518%
2021-07-17 23:06:19.297109,ETH-USD,Ethereum USD,"1,973.26",+5.5189%
2021-07-17 23:07:20.430975,ETH-USD,Ethereum USD,"1,977.30",+5.9398%
2021-07-17 23:08:21.547988,ETH-USD,Ethereum USD,"1,979.04",+6.1793%
2021-07-17 23:09:22.701916,ETH-USD,Ethereum USD,"1,979.06",+6.1478%
2021-07-17 23:10:23.807609,ETH-USD,Ethereum USD,"1,977.96",+6.0779%
2021-07-17 23:11:25.020997,ETH-USD,Ethereum USD,"1,977.14",+5.9865%
