Date,Symbol,Name,Price,Change
2021-07-17 21:55:54.956783,LTC-USD,Litecoin USD,122.44,+0.1927%
2021-07-17 21:56:56.140432,LTC-USD,Litecoin USD,122.41,+0.2312%
2021-07-17 21:57:57.255084,LTC-USD,Litecoin USD,122.92,+0.6604%
2021-07-17 21:58:58.665382,LTC-USD,Litecoin USD,122.75,+0.4074%
2021-07-17 21:59:59.815742,LTC-USD,Litecoin USD,122.61,+0.2808%
2021-07-17 22:01:03.322572,LTC-USD,Litecoin USD,122.60,+0.096%
2021-07-17 22:02:06.249409,LTC-USD,Litecoin USD,122.70,-0.0401%
2021-07-17 22:03:08.431139,LTC-USD,Litecoin USD,123.06,+0.1982%
2021-07-17 22:04:10.088319,LTC-USD,Litecoin USD,123.06,+0.2636%
2021-07-17 22:05:11.234975,LTC-USD,Litecoin USD,122.97,+0.2691%
2021-07-17 22:06:12.270086,LTC-USD,Litecoin USD,122.93,+0.2384%
2021-07-17 22:07:13.400619,LTC-USD,Litecoin USD,122.73,+0.0635%
2021-07-17 22:08:14.538568,LTC-USD,Litecoin USD,122.95,+0.2798%
2021-07-17 22:09:15.501067,LTC-USD,Litecoin USD,123.03,+0.4722%
2021-07-17 22:10:16.646573,LTC-USD,Litecoin USD,123.15,+0.5612%
2021-07-17 22:11:17.689966,LTC-USD,Litecoin USD,123.12,+0.5845%
2021-07-17 22:12:18.867657,LTC-USD,Litecoin USD,122.99,+0.5461%
2021-07-17 22:13:19.900787,LTC-USD,Litecoin USD,123.08,+0.7073%
2021-07-17 22:14:20.985205,LTC-USD,Litecoin USD,123.12,+0.7533%
2021-07-17 22:15:22.238832,LTC-USD,Litecoin USD,123.11,+0.7618%
2021-07-17 22:16:23.572948,LTC-USD,Litecoin USD,123.18,+0.725%
2021-07-17 22:17:24.680522,LTC-USD,Litecoin USD,123.18,+0.725%
2021-07-17 22:18:25.780695,LTC-USD,Litecoin USD,123.05,+0.7454%
2021-07-17 22:19:26.836284,LTC-USD,Litecoin USD,123.05,+0.8176%
2021-07-17 22:20:27.981634,LTC-USD,Litecoin USD,123.15,+0.9139%
